Date,Open,High,Low,Close
7/22/2014,9453.23,9499.36,9418.74,9499.36
7/24/2014,9508.26,9538.07,9483.52,9527.54
7/25/2014,9519.99,9528.7,9412.48,9439.29
7/28/2014,9415.9,9460.43,9385.56,9420.18
7/29/2014,9457.8,9483.75,9357.32,9391.88
7/30/2014,9409.62,9456.03,9398.82,9447.02
7/31/2014,9436.04,9438.97,9313.87,9315.85
8/1/2014,9223.75,9274.64,9201.83,9266.51
8/4/2014,9280.29,9330.19,9258.18,9330.19
8/5/2014,9316.82,9316.82,9141.44,9141.44
8/6/2014,9148.36,9163.81,9070.09,9143.97
8/7/2014,9162.65,9172.88,9108.85,9131.44
8/8/2014,9120.2,9120.2,9014.89,9085.96
8/11/2014,9109.83,9184.96,9107.21,9172.91
8/12/2014,9188.85,9198.1,9146.98,9163.12
8/13/2014,9155.02,9231.66,9147.14,9231.31
8/14/2014,9276.41,9282.01,9218.55,9230.61
8/15/2014,9243.67,9243.67,9172.91,9206.81
8/18/2014,9222.73,9222.73,9128.66,9141.31
8/19/2014,9188.63,9255.09,9188.63,9243.78
8/20/2014,9278.15,9294.49,9249.31,9288.05
8/21/2014,9286.82,9289.02,9217.97,9253.38
8/22/2014,9273.07,9380.6,9271.87,9380.1
8/25/2014,9393.24,9409.35,9369.24,9390.62
8/26/2014,9394.28,9418.77,9386.49,9393.96
8/27/2014,9426.29,9491.75,9426.29,9485.59
8/28/2014,9499.22,9502.42,9453.49,9478.37
8/29/2014,9459.81,9470.15,9425.35,9436.27
9/1/2014,9474.41,9532.66,9472.96,9513.06
9/2/2014,9503.65,9503.65,9388.13,9399.72
9/3/2014,9434.88,9455.78,9396.79,9450.35
9/4/2014,9439.76,9439.76,9389.29,9428.89
9/5/2014,9446.45,9451.39,9365.7,9407.94
9/9/2014,9452.14,9465.93,9426.99,9434.77
9/10/2014,9410.62,9410.62,9309.05,9357.61
9/11/2014,9376.38,9381.05,9322.95,9322.95
9/12/2014,9324.74,9333.28,9223.18,9223.18
9/15/2014,9206.41,9242.23,9175.61,9217.46
9/16/2014,9218.85,9219.42,9133.4,9133.4
9/17/2014,9171.04,9252.38,9159.85,9195.17
9/18/2014,9211.8,9237.88,9201.91,9237.03
9/19/2014,9268.44,9289.22,9235.44,9240.45
9/22/2014,9220.54,9220.54,9106.27,9134.65
9/23/2014,9134.29,9147.21,9084.9,9084.9
9/24/2014,9071.8,9123.11,9071.8,9098.49
9/25/2014,9126.76,9149.41,8982.51,9011.59
9/26/2014,8957.56,9001.98,8913.51,8989.82
9/29/2014,9018.46,9018.46,8948.09,8960.76
9/30/2014,8954.58,8998.83,8860.17,8966.92
10/1/2014,8958.87,9014.26,8918.96,8990.26
10/2/2014,8959.37,9010.27,8913.01,8975.19
10/3/2014,9010.3,9113.8,8998.27,9106.28
10/6/2014,9118.28,9122.54,9065.34,9095.14
10/7/2014,9065.67,9074.8,8993.45,9040.81
10/8/2014,8989.99,9038.61,8955.18,8955.18
10/9/2014,9021.31,9054.67,8946.16,8966.44
10/13/2014,8767.42,8795.77,8711.39,8711.39
10/14/2014,8691.83,8768.39,8684.19,8768.39
10/15/2014,8769.39,8776.91,8635.41,8655.51
10/16/2014,8602.65,8676.46,8501.29,8633.69
10/17/2014,8688.71,8699.77,8512.88,8512.88
10/20/2014,8617.08,8679.85,8611.17,8663.14
10/21/2014,8676.32,8676.32,8636.67,8654.64
10/22/2014,8744.91,8775.35,8729.77,8748.83
10/23/2014,8735.38,8751.67,8714.88,8731.07
10/24/2014,8740.28,8750.42,8629.24,8646.01
10/27/2014,8671.51,8689.67,8607.23,8627.78
10/28/2014,8692.52,8788.28,8692.52,8773.55
10/29/2014,8821.85,8903.68,8821.85,8903.68
10/30/2014,8890.19,8892.99,8842.8,8888.07
10/31/2014,8909.34,8974.76,8885.21,8974.76
11/3/2014,9009.38,9029.71,8965.5,9004.86
11/4/2014,9030.96,9046.22,8980.96,8989.18
11/5/2014,8997.76,9013.06,8941.18,8962.6
11/6/2014,8968.79,8979.97,8887.36,8891.02
11/7/2014,8881.19,8925.62,8867.78,8912.62
11/10/2014,8937.59,9062.89,8937.59,9049.98
11/11/2014,9067.54,9069.44,9021.54,9034.14
